Item,Terms,Level,Tense,Suitable response categories,Direction,Context,Contributor,Date,AI-drafted,Reviewed/edited
I felt satisfied with my life.,Life satisfaction,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
My relationships felt meaningful to me.,"Relationships,",Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I was in good physical health.,Physical health,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt that what I did was meaningful.,Meaning,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt my overall quality of life was good.,Quality of life,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I was able to deal with challenges effectively.,Coping,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt optimistic about the future.,Optimism,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt happy.,Happiness,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I bounced back quickly after setbacks.,Resilience,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt a clear sense of purpose in my life.,Purpose,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt hopeful about the future.,Hope,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt free to make my own choices.,Autonomy,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt satisfied with my job.,Work,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt confident in my ability to handle things.,Self-efficacy,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt full of energy.,Vitality,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt anxious.,Anxiety,Experiences,Past,"Agree-disagree, Never-Often",-1,General,1,14/06/2025,y,y
I felt close to my family.,"Family,Closeness",Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt cheerful and in good spirits.,Positive affect,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt depressed.,Depression,Experiences,Past,"Agree-disagree, Never-Often",-1,General,1,14/06/2025,y,y
I can accept things as they are.,Acceptance,Narratives,Present,"Agree-disagree, Not true-very true",1,General,1,14/06/2025,y,y
I felt connected to the people around me.,"Social wellbeing,Connection",Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt connected to something larger than myself.,"Spirituality,Connection",Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt loved.,Love,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt capable and effective.,Competence,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt in control of what was happening in my life.,Control,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I found good ways to solve problems I faced.,Problem-solving,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt supported by my friends.,"Friendship,Support",Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt like I belonged.,Belonging,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I had people I could turn to for support.,Social support,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I was fully involved in what I was doing.,Engagement,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I enjoyed what I was doing.,Enjoyment,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I achieved things that mattered to me.,Achievement,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I accomplished things I set out to do.,Accomplishment,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt healthy.,Health,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt good about myself.,"Self-esteem,Positive self-evaluation",Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt a sense of community around me.,Community,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt I could trust others.,Trust,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt physically well.,Physical wellbeing,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt comfortable.,Comfort,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I learned new things.,Learning,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I experienced unpleasant emotions.,Negative affect,Experiences,Past,"Agree-disagree, Never-Often",-1,General,1,14/06/2025,y,y
I felt skilled at my tasks.,Mastery,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt secure.,"Security,Safety",Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I was helped by others.,Help,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I feel I am growing as a person.,Personal growth,Narratives,Present,"Agree-disagree, Not true-very true",1,General,1,14/06/2025,y,y
I have faced challenges that helped me grow.,Challenge,Narratives,Present,"Agree-disagree, Not true-very true",1,General,1,14/06/2025,y,y
I took good care of myself.,Self-care,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt pleasure in what I was doing.,Pleasure,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I spent time relating to others.,Relatedness,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I found things that interested me.,Interest,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt cheerful.,Cheerfulness,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt confident in myself.,Self-confidence,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt physical pain.,Pain,Experiences,Past,"Agree-disagree, Never-Often",-1,General,1,14/06/2025,y,y
I felt calm.,Calmness,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I could move around as I needed to.,Mobility,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I feel I am developing as a person.,Development,Narratives,Present,"Agree-disagree, Not true-very true",1,General,1,14/06/2025,y,y
I felt close to friends.,Friends,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I kept going even when things were hard.,Perseverance,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt my health was good.,Health status,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt lonely.,Loneliness,Experiences,Past,"Agree-disagree, Never-Often",-1,General,1,14/06/2025,y,y
I felt negative.,Negative feelings,Experiences,Past,"Agree-disagree, Never-Often",-1,General,1,14/06/2025,y,y
I had the energy I needed.,Energy,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt emotionally balanced.,"Emotional wellbeing,Balance",Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I made progress toward my goals.,"Goals,Progress",Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt positive emotions.,Positive emotion,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
